632,536
621,555
610,516
619,522
622,516
604,502
618,494
620,532
453,443
464,432
472,401
465,391
456,397
349,332
360,323
376,302
373,323
396,321
380,287
352,267
356,301
325,302
367,289
362,311
342,290
348,289
369,258
354,284
350,317
353,277
353,289
364,311
374,297
356,295
381,313
367,273
341,271
364,259
371,300
353,296
359,316
363,269
359,273
382,329
396,296
373,283
381,308
355,261
353,277
359,297
365,310
366,293
353,315
365,328
366,310
359,321
360,306
360,323
341,294
357,317
390,300
366,306
329,309
346,300
353,304
354,252
361,299
359,322
380,331
372,321
389,338
364,329
364,300
371,320
355,294
350,286
362,316
387,310
368,286
395,289
357,314
366,313
378,303
373,326
366,308
361,348
373,325
374,323
366,349
353,299
358,289
374,321
373,333
391,322
375,303
363,362
361,316
366,327
402,319
378,313
379,311
372,303
387,357
383,323
381,317
372,317
356,311
375,315
376,345
356,351
364,321
377,317
374,339
367,342
366,323
376,292
393,302
372,283
372,342
365,335
363,324
368,322
367,335
350,319
382,349
348,325
370,358
377,284
371,326
354,325
379,331
356,306
376,360
347,327
385,326
341,328
344,340
386,318
378,335
389,312
358,298
383,326
391,327
370,308
388,338
379,325
375,319
386,317
381,332
465,330
568,295
581,345
586,338
591,343
645,333
616,349
620,339
636,385
635,333
618,317
641,334
634,314
632,368
643,328
636,368
648,345
607,290
644,295
630,309
649,331
628,329
618,318
634,326
640,323
645,314
656,327
654,360
654,367
645,379
637,331
661,321
642,330
655,310
667,306
628,296
650,304
642,301
643,335
648,323
615,327
653,363
648,337
658,315
668,307
631,332
642,322
655,324
628,330
643,314
630,311
615,340
660,326
633,302
637,292
637,351
639,330
647,347
647,318
640,336
628,348
625,357
615,332
646,326
637,343
654,339
632,353
645,338
645,343
623,351
661,321
630,341
649,297
639,333
664,320
625,318
623,339
644,363
654,367
649,326
640,312
654,316
620,291
624,302
639,291
647,291
670,334
645,332
636,294
634,304
649,340
633,330
652,340
630,326
649,359
670,356
660,342
646,351
656,314
647,337
649,287
651,333
639,314
631,318
635,347
639,329
665,303
699,320
944,299
923,335
927,370
933,309
930,332
925,323
915,322
960,332
953,326
973,301
934,288
946,306
924,307
948,310
942,309
955,305
950,293
940,296
953,287
974,286
952,294
945,289
924,332
929,301
932,304
950,288
941,308
916,272
959,245
926,308
953,315
939,302
955,290
931,300
925,276
951,310
950,313
917,315
927,302
918,302
940,278
928,299
922,320
935,319
933,324
939,320
938,311
921,317
917,318
934,330
932,317
916,332
925,313
943,325
938,304
952,339
948,293
925,283
935,295
925,324
908,310
937,309
930,321
949,284
926,315
928,336
920,295
939,302
940,355
912,315
903,305
944,312
941,328
941,340
920,323
929,363
915,308
950,323
943,298
941,336
943,324
947,323
965,338
930,299
918,344
932,322
900,343
939,310
936,320
933,327
912,308
931,317
934,291
938,316
941,353
919,312
934,301
930,324
918,355
919,360
925,325
936,325
926,319
949,318
915,333
942,335
913,322
919,346
944,328
937,333
897,319
730,364
719,371
744,367
732,374
679,394
379,487
406,502
422,525
397,543
385,494
361,500
349,511
358,502
349,486
352,491
378,489
371,486
378,501
359,496
355,468
346,495
337,466
340,481
346,477
336,449
343,464
316,485
351,452
363,494
376,450
349,455
331,467
355,446
361,465
340,473
341,458
349,475
356,430
350,474
374,465
372,486
342,455
360,480
347,414
349,479
336,459
355,441
407,502
371,427
341,486
366,457
357,480
345,471
376,505
352,481
350,484
340,505
344,509
350,503
328,490
339,478
344,481
353,488
399,523
365,498
373,504
355,523
360,485
374,491
368,538
390,457
365,475
363,498
381,493
381,499
373,501
372,477
380,513
383,485
350,493
398,509
368,512
368,498
372,506
381,531
365,518
368,501
344,525
398,557
355,465
373,511
368,503
369,527
361,502
356,520
358,563
370,520
353,513
391,502
353,498
364,514
364,493
385,506
382,510
373,505
352,510
384,487
503,509
581,494
567,540
584,521
646,507
625,511
628,486
637,518
615,498
641,538
635,515
632,541
640,504
650,497
655,513
624,499
642,511
649,518
641,518
639,469
613,507
644,509
648,449
643,483
657,476
652,490
627,486
660,484
648,526
649,472
664,490
639,438
662,492
629,453
655,485
654,510
662,499
659,478
639,472
643,488
637,513
653,504
642,495
687,491
630,493
645,505
671,508
657,504
642,520
653,475
660,494
631,493
661,503
673,515
659,517
651,510
651,497
669,528
643,518
653,489
640,499
646,507
650,529
641,514
650,519
634,523
650,543
646,493
659,512
